conversation_id,topic,question,gold_answer,literal_answer,pragmatic_answer,retrieved_answer,literal_f1,literal_precision,literal_recall,pragmatic_f1,pragmatic_precision,pragmatic_recall,retrieved_f1,retrieved_precision,retrieved_recall,literal_context_length,pragmatic_context_length,retrieved_context_length,num_retrieved_passages
14,Batman,how old is batman?,"Batman made his first appearence in media in May of 1939, so he is quite old. He premiered as a vigilante.","May, 1939",Batman,1968,0.4996249062265567,0.449662415603901,0.5495873968492124,0.0,0.0,0.0,0.0,0.0,0.0,76,94,79169,5
15,Batman,how old is batman?,Batman first appeared in comics in 1939 so that would put him at 82 years old.,1939,1939,1968,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,75,75,79169,5
16,Batman,what is batman's real name? ,"Bruce Wayne is the real name of Batman who, after witnessing the murder of his parents as a child, donned a bat-themed costume in order to fight crime.",Bruce Wayne,his parents,"Bruce Wayne
      



       Aliases",0.5,0.45,0.55,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,11,168,120761,5
17,Batman,Is batman s a superhero? ,"Yes, Batman is a superhero. He witnessed the murder of his parents as a child and trained himself to fight crime. He does not possess any superpowers but uses his skills to the best of his ability to fight crime.",Batman,he does not possess any superpowers,"Unlike most superheroes, he does not possess any superpowers",0.33333333333333337,0.30000000000000004,0.36666666666666675,0.33333333333333337,0.30000000000000004,0.36666666666666675,0.33333333333333337,0.30000000000000004,0.36666666666666675,74,434,218798,5
18,Batman,what year was it release? ,He first appeared in May 1939. The comic's name was Detective comics.,1939,27,2013,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,9,20,142296,5
19,Batman,Hi. When was the first Batman comic released?,"Batman made his first appearance in the comic ""Detective Comics #27"" which was released in May of 1939. He was created by writer Bill Finger and artist Bob Kane.",1939,Bob Kane,"June 23, 1989",0.5,0.45,0.55,0.4996249062265567,0.449662415603901,0.5495873968492124,0.0,0.0,0.0,50,50,22177,5
20,Batman,When was the original batman released?,"The first appearance of Batman was in May 1939 in Detective Comics #27 title The Case of the Chemical Syndicate. In the comic, Commisioner Gordon learns that a chemical industrialist was murdered. Bruce Wayne, a young friend of Gordon, is present at the crime scene and decides to investigate as Batman.",May 1939,May 1939,August 2021,0.33333333333333337,0.30000000000000004,0.36666666666666675,0.33333333333333337,0.30000000000000004,0.36666666666666675,0.0,0.0,0.0,8,398,31856,5
21,Batman,Batman,"Batman is a character co-created by artist Bob Kane and author Bill Finger to be the protector of the fabled Gotham City. As the story goes, he is revered as the CEO of Wayne Enterprises, Patriarch of the Bat Family, and a veteran to the Justice League. Batman is considered to be in peak physical condition, possessing a degree of genius as a detective and a skill for escaping.",Batman,Peak human physical condition,The Brave and the Bold,0.0,0.0,0.0,0.2222222222222222,0.19999999999999998,0.24444444444444446,0.0,0.0,0.0,150,197,96193,5
22,Batman,Who is Batman?,"He is a superhero. He was created by BobKne and Bill Finger. As a character, he is the patriarch of the Bat Family and the CEO of Wayne Enterprises.",a superhero,"CEO of Wayne Enterprises, Patriarch of the Bat Family","Bruce Wayne
        






      General Information",0.4,0.36000000000000004,0.44000000000000006,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,21,108,218798,5
23,Batman,Who is batman?,http://learning-environment-optimisation.us-east-2.elasticbeanstalk.com/experiment/?mTurkId=A3G8JHYINIOP64&surveyId=https://cambridge.eu.qualtrics.com/jfe/form/SV_9snnYxpUcF3ZreK,Patriarch of the Bat Family,Batman,Alfred Pennyworth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,76,218798,5
24,Batman,What was the first piece of media to feature Batman,Dc comics and Dc universe where the first media to feature the batman series,DC Comics,DC Universe,"Warner Brothers
   Batman Film Franchise",0.4996249062265567,0.449662415603901,0.5495873968492124,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,10,11,39437,5
25,Batman,When the first Batman movie released?,"I am sorry, I do not know. I do know that he first appeared in comics in issue #27 of detective comments which was released in may of 1939.",I don't know,1939,"June 15, 2005",0.4999996249999062,0.4499996624999156,0.5499995874998969,0.5,0.45,0.55,0.0,0.0,0.0,12,76,30681,5
26,Batman,what year was batman launched?,Batman was first launched in May 1939. He was created by Bill Finger and Bob Kane.  Do you want to know how Batman came to be ?,1939,Bill Finger (writer) Bob Kane,2005,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,32,38,40288,5
27,Batman,Hi. What is Batman's name?,"Batman's real name is Bruce Wayne. Bruce Wayne, born to Thomas Wayne and Martha Kane, is the CEO of Wayne Enterprise, who also protects Gotham as Batman.",Bruce Wayne,Martha Kane,"Bruce Wayne
      



       Aliases",0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,0.3333333333333333,0.3,0.3666666666666667,44,213,94346,5
28,Batman,When did the Batman comics first appear?,"The Batman first appeared in Detective Comics #27 in May 1939, and soon got the title Batman after his introduction",1939,soon after his introduction,"February 10, 1977",0.4996249062265567,0.449662415603901,0.5495873968492124,0.5,0.45,0.55,0.0,0.0,0.0,32,175,26496,5
29,Batman,Does Batman have real wings? ,"No Sorry he does not, He is the son of Thomas Wayne and Maratha Kane, which rhymes! ",,Bruce Wayne,David Zavimbe,0.0,0.0,0.0,0.4999996249999062,0.4499996624999156,0.5499995874998969,0.0,0.0,0.0,0,64,10714,5
30,Batman,what is the batmobile?,"A modified car used for both high-speed pursuits and general travel. Batman often uses the Batmobile to patrol the streets of Gotham or as his general response to situations.The Batmobile is generally housed in the Batcave, though secret garages and maintenance points can be found around Gotham.",to patrol the streets of Gotham or as his general response to situations,housed in the Batcave,personal automobile and primary mode of transportation,0.44442716030178114,0.399984444271603,0.4888698763319593,0.2857632639067455,0.25718693751607097,0.3143395902974201,0.21875000000000003,0.19687500000000002,0.24062500000000006,174,122,18202,5
31,Batman,What is the latest in the Batman Series of movies?,"The Suicide Squad was released on August 6th, 2021, and is one of the latest in the Batman mythos. This film features many characters connected to the Batman franchise such as Harley Quinn.",The Suicide Squad,"Harley Quinn Release Date
August 6, 2021",1989,0.4996249062265567,0.449662415603901,0.5495873968492124,0.8023952095808384,0.7221556886227546,0.8826347305389224,0.0,0.0,0.0,17,111,19958,5
32,Batman,Who was Batman's first villian?,Alfred Stryker was the first villain Batman faced. Batman beats Styker and pushes him into a vat of acid.,Alfred Stryker,Stryker,Alfred Pennyworth,0.5,0.45,0.55,0.4996249062265567,0.449662415603901,0.5495873968492124,0.0,0.0,0.0,14,96,164650,5
33,Batman,I filled out the test & clicked submit.  ,"Batman is known for high level resources and intelligence, a master in martial arts and physical conditions and equipped with high tech gears. He is also a member of Justice League and his alter ego is Bruce Wayne",Access to high tech equipment,Access,With a flip of his coin,0.2857142857142857,0.2571428571428571,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,144,236,11138,5
34,Batman,when was batman made?,"Batman's first appearance was in Detective Comics #27 in May, 1939.  This was only the beginning for the development for the character and many comic appearances, television shows, and movies. As the years went on, there were many differing takes on the character, such as the late 1960s television series, the 1986 Dark Knight series, and TIm Burton's 1989 Batman motion picture. ","May, 1939",1960s,"a month after Batman's
   50th anniversary",0.4,0.36000000000000004,0.44000000000000006,0.33333333333333337,0.30000000000000004,0.36666666666666675,0.0,0.0,0.0,50,442,159079,5
35,Batman,what year was batman release? ,Batman first appeared in comic book form in May 1939. His real later appeal came from Tim Burton's amazing film in 1989.  Do you want to know about his origins? ,1939,1989,1989,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,32,73,31005,5
36,Batman,When did Batman first appear in a comic book?,"Batman first appeared in comics in Detective Comics #27: ""The Case of the Chemical Syndicate."" In this debut, the story line follows an investigation into the murder of an industrialist.",1939,The Case of the Chemical Syndicate,1939,0.4996249062265567,0.449662415603901,0.5495873968492124,0.5,0.45,0.55,0.4996249062265567,0.449662415603901,0.5495873968492124,50,149,218798,5
37,Batman,who is the star in batman?,Batman is the star but also Bruce Wayne who is his secret identity! Do you want to know who it was created by?,Batman,Bruce Wayne,"Jay Lycurgo
      




    Tim Drake",0.4999996249999062,0.4499996624999156,0.5499995874998969,0.49624060150375937,0.44661654135338347,0.5458646616541354,0.0,0.0,0.0,6,11,159452,5
38,Batman,What is Batman?,"Batman is a superhero who has been Gotham City 's protector for decades, CEO of Wayne Enterprises, Patriarch of the Bat Family and veteran member of the Justice League ",protector,a superhero,"Bruce Wayne
        






      General Information",0.33333333333333337,0.30000000000000004,0.36666666666666675,0.33333333333333337,0.30000000000000004,0.36666666666666675,0.0,0.0,0.0,150,76,218798,5
39,Batman,when was batman made,"Batman first appeared in Detective Comics #27 (May, 1939), by Bill Finger (writer) Bob Kane (artist)","May, 1939",Bill Finger (writer) Bob Kane (artist),"50th anniversary
   of his comic debut",0.4,0.36000000000000004,0.44000000000000006,0.6666666666666666,0.6,0.7333333333333334,0.3333333333333333,0.3,0.3666666666666667,32,38,40288,5
40,Batman,Hi! Is Batman a real human? ,"If you mean in the movie, then yes he is human, as his name is Bruce wayne who is the CEO of Wayne enterprise",Bruce Wayne,CEO of Wayne Enterprises,"Batman
    





         Batman
        



         Bruce Wayne
        






      General Information",0.5,0.45,0.55,0.5,0.45,0.55,0.44422200000000006,0.39979980000000004,0.4886442000000001,11,24,218798,5
41,Batman,who played batman the most on tv?,Adam West made the most appearances of Batman on TV in the 1960's show.,Batman,Batman,"Madge Blake
       Yvonne Craig",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,193,87992,5
42,Supernanny,what year was the show premiere?,"The British Supernanny began airing on Channel 4 on July 7, 2004. The first American Supernanny show began airing on ABC on Janurary 7, 2005. The American Supernanny show spanned 126 episodes contained into seven seasons.",2005,The show spanned 126,2004,0.4996249062265567,0.449662415603901,0.5495873968492124,0.5,0.45,0.55,0.5,0.45,0.55,139,59,7246,5
43,Supernanny,What is the plot of the show?,"Hide Selected Literal Answer Spans This reality project, Supermanny, centers on the tough-love guidance of Chicago-based child therapist  Hide Added Additional Info This reality project, Supermanny, centers on the tough-love guidance of Chicago-based child therapist",tough-love guidance of Chicago-based child therapist,tough-love guidance of Chicago-based child therapist,"The Howat Family
      




      Next
     

      The Bates Family
     





    The Brown-Smith Family",0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,101,101,10881,5
44,Supernanny,what year was the show release ? ,"Good morning!The first American Supernanny show began airing on ABC on January 7, 2005.",2005,COVID-19 Pandemic,2004,1.0,0.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,74,121,8864,5
45,Supernanny,what year was supernanny released? ,"July 7, 2004. The British Supernanny began airing on Channel 4.",2004,British,2004,0.4996249062265567,0.449662415603901,0.5495873968492124,0.4999996249999062,0.4499996624999156,0.5499995874998969,0.4996249062265567,0.449662415603901,0.5495873968492124,12,48,9241,5
46,Supernanny,What is Supernanny?,Supernanny is a TV show that started as a British series and was successful enough to broadcast overseas versions including an the US version in 2005.,British TV series,overseas versions,a British TV series,0.6666666666666666,0.6,0.7333333333333334,0.33333333333333337,0.30000000000000004,0.36666666666666675,0.33333333333333337,0.30000000000000004,0.36666666666666675,19,156,8625,5
47,Supernanny,What is Supernanny about?,"Supernanny is a British reality television programme about parents struggling with their children's behaviour, mealtime, potty training, etc. The show features professional nanny Jo Frost, who devotes each episode to helping a family where the parents are struggling with child-rearing.",The British Supernanny,Moonshine music,British TV series,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,0.4,0.36000000000000004,0.44000000000000006,110,168,8625,5
48,Supernanny,What is supernanny?,It is a British TV series. The UK and US English-language version have been broadcast in 47 different territories.,British TV series,a British TV series,a British TV series,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,20,108,8625,5
49,Supernanny,what genre is the tv series? ,"Supernanny is considered a controversial reality show that aired from January 1 to September 22, 2020 on Lifetime. Originally, it started off as a British television series before eventually being broadcast in 47 different territories. ",controversial,British,Supernanny,0.4,0.36000000000000004,0.44000000000000006,0.33333333333333337,0.30000000000000004,0.36666666666666675,0.0,0.0,0.0,27,193,9088,5
50,Supernanny,"Ok, Where does the Supernanny mainly live (country)?",Supernanny lives in the UK. It is originally a British TV series.,UK,British,Chile to Slovakia,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,6,19,9105,5
51,Supernanny,What is a Supernanny at all? Movie series? ,Supernanny started off as a British TV series.  It moved to the US in 2005. It's a reality series about raising children,British,the first American version of Supernanny shares the parent's ages,British,0.4996249062265567,0.449662415603901,0.5495873968492124,0.0,0.0,0.0,0.4996249062265567,0.449662415603901,0.5495873968492124,141,94,9645,5
52,Supernanny,what year was the show released?,"The first American Supernanny show began airing on ABC on January 7, 2005.",2005,2005,2004,0.4999996249999062,0.4499996624999156,0.5499995874998969,0.4999996249999062,0.4499996624999156,0.5499995874998969,0.0,0.0,0.0,74,74,9607,5
53,Supernanny,what type of t series is supernanny? ,Supernanny is an American reality television program about parents struggling with aspects of raising their children ,British,American,British,0.0,0.0,0.0,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,209,143,8625,5
54,Supernanny,what is supernanny? ,Supernanny is a show about a nanny who uses tough-love guidance. The show began as a British TV series.,tough-love,a British TV series,a British TV series,0.4,0.36000000000000004,0.44000000000000006,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,68,45,8625,5
55,Supernanny,what is Supernanny?,"Supernanny started off as a British TV series. The show was successful enough that overseas versions of Supernanny were broadcast in France, Germany, Brazil, Portugal, Spain, Denmark, The Netherlands, Israel, Belgium, Austria, Croatia, Poland, Romania, Russia, and Sweden with five further local format versions in production from Chile to Slovakia. Added to this, the UK and US English-language version have been broadcast in 47 different territories.",The first American Supernanny show,child therapist Mike Ruggles,a British TV series,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,0.4,0.36000000000000004,0.44000000000000006,196,313,8625,5
56,Supernanny,what year did supernanny come out? ,"Supernanny came out July 7, 2004",2004,2004,2004,0.4996249062265567,0.449662415603901,0.5495873968492124,0.4996249062265567,0.449662415603901,0.5495873968492124,0.4996249062265567,0.449662415603901,0.5495873968492124,64,138,9105,5
57,Supernanny,who is Supernanny?,"Jo Frost, a young woman originally from the UK.",Jo Frost,nanny,British TV series,0.5,0.45,0.55,0.4996249062265567,0.449662415603901,0.5495873968492124,0.0,0.0,0.0,8,129,6264,5
58,Supernanny,What year did supernanny come out? ,"Supernanny came out in the year 2005. In the UK, however, the show began airing in 2004.",2004,2005,2004,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,64,74,9105,5
59,Supernanny,"Tell me about yourself, What is the use of this study?",I don't know. Just a little bit of Chicago-based tough love guidance.,I don't know,tough-love,temporarily separating a person from an enviro,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,12,19,7286,5
60,Supernanny,What is the key to raising someone elses kids?,I don't know. Supernanny features families in front of the camera with the narrator talking about the families.,I don't know,in front of the camera,internet,0.4996249062265567,0.449662415603901,0.5495873968492124,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,12,130,12093,5
61,Supernanny,who is supernanny?,"Her name is Jo Frost, and she is from the UK.",Jo Frost,Jo Frost,British TV series,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.5,0.45,0.55,8,8,6264,5
62,Supernanny,who is the star of this serie?,"Jo Frost, a young woman from the UK.",Jo Frost,Jo Frost,"Michael Stephen Charles ""Mike"" Ruggles III",0.5,0.45,0.55,0.5,0.45,0.55,0.0,0.0,0.0,8,8,4056,5
63,Supernanny,who created the show? ,"I really have no idea. Supernanny began as a British television show airing on Channel 4 starting on July 7, 2004.",I don't know,Supernanny,"Michael Stephen Charles ""Mike"" Ruggles III",0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,12,98,2605,5
64,Supernanny,Tell what year it was released? ,"Supernanny started off as a British TV series. The first American Supernanny show began airing on ABC on January 7, 2005.",2005,Supernanny,2008,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,73,45,6497,5
65,Supernanny,What year was it released? ,"The show was released in the year 2005. It aired until 2019, just before the COVID-19 Pandemic.",2005,COVID-19 Pandemic,1981,0.4996249062265567,0.449662415603901,0.5495873968492124,0.4999996249999062,0.4499996624999156,0.5499995874998969,0.0,0.0,0.0,74,61,6497,5
66,Supernanny,What does Supernanny do?,"Supernanny started off as a British TV series. The show was successful enough that overseas versions of Supernanny were broadcast in France, Germany, Brazil, Portugal, Spain, Denmark, The Netherlands, Israel, Belgium, Austria, Croatia, Poland, Romania, Russia, and Sweden with five further local format versions in production from Chile to Slovakia. Added to this, the UK and US English-language version have been broadcast in 47 different territories.",British TV series,the UK and US English-language version have been broadcast in 47 different territories,British TV series,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,348,102,8625,5
67,Alexander Hamilton,Who plays Alexander Hamilton in the Broadway show?,"Lin-Manuel Miranda originated the role and held it for the entirety of the production. Miguel Cervantes currently plays Alexander Hamilton in the Chicago Production, previously serving as the character's alternate on Broadway.",Lin-Manuel Miranda,Miguel Cervantes,,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,86,140,0,0
68,Alexander Hamilton,What is the genre of music in this Alexander Hamilton?,"Hamilton tells the story of Alexander Hamilton using Hip-Hop. The idea was first brought up when Lin was at a bar and discussed a concept album. He soon produced The Hamilton Mixtape, which was followed by a performance at the Lincoln Center and then the musical that we all know today.",hip-hop,hip-hop,,0.33333333333333337,0.30000000000000004,0.36666666666666675,0.33333333333333337,0.30000000000000004,0.36666666666666675,0.0,0.0,0.0,7,253,0,0
69,Alexander Hamilton,Who is Alexander Hamilton?,"Hamilton was many things, he served in the Continental army under Washington, then when the US government formed he became our first secretary of Treasury. An interesting fact; you can see his image on a $10 bill, if you're lucky enough to have 10$.",Secretary of the Treasury,Federalist,,0.4996249062265567,0.449662415603901,0.5495873968492124,0.0,0.0,0.0,0.0,0.0,0.0,25,10,0,0
70,Alexander Hamilton,Who wrote the musical?,Writer Lin-Manuel Miranda also portrayed Alexander Hamilton in its first appearance ,Lin-Manuel Miranda,"Vassar Workshop
Lin-Manuel Miranda",,0.6666666666666666,0.6,0.7333333333333334,0.5,0.45,0.55,0.0,0.0,0.0,18,87,0,0
71,Alexander Hamilton,What is the musical about?,"Hamilton is a Broadway musical and it tells the story of Alexander Hamilton, Secretary of Treasury and Founding Father. The lyrics and music are based on Hamilton's biography.",the life of American Secretary of Treasury and Founding Father,Alexander Hamilton,,0.6666666666666666,0.6,0.7333333333333334,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,121,127,0,0
72,Alexander Hamilton,When did the play open on Broadway?,"ts schedule to perform from July to September 2018 was: July 9-September 1, 2018: Tuesday @7pm, Wednesday @2pm and 8pm, Thursday @7pm, Friday @8pm, Saturday @2pm and 8pm, and Sunday @3pm .","July 9-September 1, 2018","July 9-September 1, 2018",,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,188,188,0,0
73,Alexander Hamilton,Who was Alexander Hamilton in Hamilton musical?,"Alexander Hamilton is the main protagonist of the musical Hamilton. The character is a founding father and the Secretary of Treasury for the United States, portrayed originally by Lin Manuel Miranda. ",Secretary of the Treasury,Lin-Manuel Miranda,,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,102,18,0,0
74,Alexander Hamilton,Who is Alexander Hamilton?,"Alexander Hamilton, born in either 1755 or 1757, was the first Secretary of Treasury. He was married to Elizabeth Schuyler Hamilton and became well known as the main protagonist in the musical Hamilton. ",Secretary of the Treasury,wife,,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,55,67,0,0
75,Alexander Hamilton,Hello. What is the musical about?,"It's about the life and times of Alexander Hamilton. When Hamilton arrived in New York he became interested in the up-and-coming American revolution. The newly elected President Washington enlists Hamilton for the job of Secretary of Treasury, despite Eliza's pleas.",American revolution,The newly elected President Washington enlists Hamilton for the job of Secretary of Treasury,,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,96,116,0,0
76,Alexander Hamilton,Who is Hamilton?,He is the main character in the hip hop musical about the American Revolution. He was the first Secretary of Treasury.,Alexander Hamilton is the titular main protagonist,Secretary of the Treasury,,0.6666666666666666,0.6,0.7333333333333334,0.5,0.45,0.55,0.0,0.0,0.0,76,25,0,0
77,Alexander Hamilton,Who is Hamilton?,"Alexander Hamilton is the main character in the musical, Hamilton, who writes The Federalist Papers with James Madison and John Jay after Aaron Burr refused.",Alexander Hamilton is the titular main protagonist,James Madison and John Jay,,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,76,100,0,0
78,Alexander Hamilton,what year was the musical release?,"I'm not sure, but the Original Broadway musical had Lin-Manuel Miranda in it.",I don't know,Broadway,,0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,12,32,0,0
79,Alexander Hamilton,"What was Hamilton accused of in ""We Know?""","Hamilton was accused of theft by three of his political enemies, namely Burr, Jefferson and Madison. These claims arose when they found evidence of payments Hamilton made to blackmail James Reynolds and the three enemies thought he was stealing the government's money.",theft,slandering the government's money,,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,5,189,0,0
80,Alexander Hamilton,What is the signficance of Alexander Hamilton?,"He was the first secretary of the treasury and the main character in the musical Hamilton, a hop hop musical about the American Revolution. ","Occupation

Secretary of the Treasury",titular main protagonist,,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,37,76,0,0
81,Alexander Hamilton,Who is Alexander Hamilton? ,"Alexander Hamilton, also known as Tom-Cat, was George Washington's secretary during the American Revolutionary War. He then became Secretary of Treasury under President George Washington.",Secretary of the Treasury,George Washington,,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,25,215,0,0
82,Alexander Hamilton,Who is starred as Alexander Hamilton in the musical Hamilton?,Alexander Hamilton stared in musical ,,Alexander Hamilton,,0.0,0.0,0.0,1.0,0.9,1.1,0.0,0.0,0.0,0,18,0,0
